Site,TagNo,DBH,surv,lags,resurveyarea,newplt,yr,Temp.Oct.Apr.,Temp.May.Sept.,Precip.Aug.July,fog,cloud,sitetag,growth,propgrowth,allgrowth,allpropgrowth
EF1,1360a,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,EF11360a,NA,NA,NA,NA
EF1,1813,NA,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,EF11813,NA,NA,NA,NA
EF1,1813,NA,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,EF11813,NA,NA,NA,NA
EF1,4030,NA,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,EF14030,NA,NA,NA,NA
EF1,886a,NA,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,EF1886a,NA,NA,NA,NA
EF1,886a,NA,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,EF1886a,NA,NA,NA,NA
EF2,1746,NA,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,EF21746,NA,NA,NA,NA
EF2,1756a,NA,1,1,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,EF21756a,NA,NA,NA,NA
EF2,1795a,NA,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,EF21795a,NA,NA,NA,NA
MSC,1011,NA,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,MSC1011,NA,NA,NA,NA
MSC,1068,NA,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,MSC1068,NA,NA,NA,NA
MSC,1106,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1106,NA,NA,NA,NA
MSC,1180,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1180,NA,NA,NA,NA
MSC,1200,NA,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,MSC1200,NA,NA,NA,NA
MSC,1201,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1201,NA,NA,NA,NA
MSC,1202,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1202,NA,NA,NA,NA
MSC,1204,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1204,NA,NA,NA,NA
MSC,1209,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1209,NA,NA,NA,NA
MSC,1218,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1218,NA,NA,NA,NA
MSC,1221,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1221,NA,NA,NA,NA
