sitetag,Site,yr,TagNo,DBH,surv,lags,resurveyarea,newplt
EF11360a,EF1,2003,1360a,NA,1,1,1,0
EF11813,EF1,2011,1813,NA,1,2,1,0
EF11813,EF1,2014,1813,NA,1,1,1,0
EF14030,EF1,2016,4030,NA,1,1,1,0
EF1886a,EF1,2011,886a,NA,1,2,1,0
EF1886a,EF1,2013,886a,NA,1,2,1,0
EF21746,EF2,2011,1746,NA,1,2,1,0
EF21756a,EF2,2005,1756a,NA,1,1,1,0
EF21795a,EF2,2009,1795a,NA,1,2,1,0
MSC1011,MSC,2011,1011,NA,1,2,1,0
MSC1068,MSC,2016,1068,NA,1,1,1,0
MSC1106,MSC,2004,1106,NA,1,1,1,0
MSC1180,MSC,2004,1180,NA,1,1,1,0
MSC1200,MSC,2015,1200,NA,1,1,1,0
MSC1201,MSC,2003,1201,NA,1,1,1,0
MSC1202,MSC,2003,1202,NA,1,1,1,0
MSC1204,MSC,2003,1204,NA,1,1,1,0
MSC1209,MSC,2003,1209,NA,1,1,1,0
MSC1218,MSC,2003,1218,NA,1,1,1,0
MSC1221,MSC,2003,1221,NA,1,1,1,0
MSC1224,MSC,2003,1224,NA,1,1,1,0
MSC1225,MSC,2003,1225,NA,1,1,1,0
MSC1226,MSC,2003,1226,NA,1,1,1,0
MSC1227,MSC,2003,1227,NA,1,1,1,0
MSC1228,MSC,2003,1228,NA,1,1,1,0
MSC1229,MSC,2003,1229,NA,1,1,1,0
MSC1230,MSC,2011,1230,NA,1,1,1,0
MSC1231,MSC,2003,1231,NA,1,1,1,0
MSC1232,MSC,2003,1232,NA,1,1,1,0
MSC1233,MSC,2003,1233,NA,1,1,1,0
MSC1234,MSC,2003,1234,NA,1,1,1,0
MSC1235,MSC,2003,1235,NA,1,1,1,0
MSC1236,MSC,2003,1236,NA,1,1,1,0
MSC1237,MSC,2003,1237,NA,1,1,1,0
MSC1239,MSC,2003,1239,NA,1,1,1,0
MSC1241,MSC,2003,1241,NA,1,1,1,0
MSC1248,MSC,2003,1248,NA,1,1,1,0
MSC1249,MSC,2003,1249,NA,1,1,1,0
MSC1249,MSC,2004,1249,NA,1,1,1,0
MSC1251,MSC,2003,1251,NA,1,1,1,0
MSC1251,MSC,2004,1251,NA,1,1,1,0
MSC1254,MSC,2003,1254,NA,1,1,1,0
MSC1255,MSC,2003,1255,NA,1,1,1,0
MSC1258,MSC,2003,1258,NA,1,1,1,0
MSC1259,MSC,2003,1259,NA,1,1,1,0
MSC1261,MSC,2011,1261,NA,1,1,1,0
MSC1262,MSC,2011,1262,NA,1,1,1,0
MSC1265,MSC,2011,1265,NA,1,1,1,0
MSC1266,MSC,2004,1266,NA,1,1,1,0
MSC1288,MSC,2004,1288,NA,1,1,1,0
MSC1301,MSC,2003,1301,NA,1,1,1,0
MSC1302,MSC,2003,1302,NA,1,1,1,0
MSC1307,MSC,2015,1307,NA,1,1,1,0
MSC1308,MSC,2003,1308,NA,1,1,1,0
MSC1313,MSC,2003,1313,NA,1,1,1,0
MSC1320,MSC,2003,1320,NA,1,1,1,0
MSC1322,MSC,2003,1322,NA,1,1,1,0
MSC1331,MSC,2003,1331,NA,1,1,1,0
MSC1334,MSC,2007,1334,NA,1,3,1,0
MSC1336,MSC,2003,1336,NA,1,1,1,0
