sitetag,Site,yr,TagNo,DBH,surv,lags,resurveyarea,newplt
EF11360a,EF1,2002,1360a,0.219732178022843,1,0,1,1
EF11360a,EF1,2003,1360a,NA,1,1,1,0
EF11360a,EF1,2004,1360a,NA,0,1,1,0
EF11813,EF1,2002,1813,10.3,1,0,1,0
EF11813,EF1,2003,1813,11.8,1,1,1,0
EF11813,EF1,2004,1813,NA,NA,0,1,0
EF11813,EF1,2005,1813,11.7,1,2,1,0
EF11813,EF1,2006,1813,NA,NA,0,1,0
EF11813,EF1,2007,1813,22.3,1,2,1,0
EF11813,EF1,2008,1813,NA,NA,0,1,0
EF11813,EF1,2009,1813,24.1,1,2,1,0
EF11813,EF1,2010,1813,NA,NA,0,1,0
EF11813,EF1,2011,1813,NA,1,2,1,0
EF11813,EF1,2012,1813,NA,NA,0,1,0
EF11813,EF1,2013,1813,28.5,1,2,1,0
EF11813,EF1,2014,1813,NA,1,1,1,0
EF14030,EF1,2015,4030,0.370263883418668,1,0,1,0
EF14030,EF1,2016,4030,NA,1,1,1,0
EF1886a,EF1,2007,886a,9.6,1,0,1,0
EF1886a,EF1,2008,886a,NA,NA,0,1,0
EF1886a,EF1,2009,886a,9.6,1,2,1,0
EF1886a,EF1,2010,886a,NA,NA,0,1,0
EF1886a,EF1,2011,886a,NA,1,2,1,0
EF1886a,EF1,2012,886a,NA,NA,0,1,0
EF1886a,EF1,2013,886a,NA,1,2,1,0
EF21746,EF2,2004,1746,7.2,1,0,1,0
EF21746,EF2,2005,1746,10.5,1,1,1,0
EF21746,EF2,2006,1746,NA,NA,0,1,0
EF21746,EF2,2007,1746,14.6,1,2,1,0
EF21746,EF2,2008,1746,NA,NA,0,1,0
EF21746,EF2,2009,1746,15.8,1,2,1,0
EF21746,EF2,2010,1746,NA,NA,0,1,0
EF21746,EF2,2011,1746,NA,1,2,1,0
EF21746,EF2,2012,1746,NA,NA,0,1,0
EF21746,EF2,2013,1746,20.6,1,2,1,0
EF21746,EF2,2014,1746,19.9,0,1,1,0
EF21756a,EF2,2004,1756a,1.3,1,0,1,0
EF21756a,EF2,2005,1756a,NA,1,1,1,0
EF21756a,EF2,2006,1756a,NA,NA,0,1,0
EF21756a,EF2,2007,1756a,NA,0,2,1,0
EF21795a,EF2,2004,1795a,5.3,1,0,1,0
EF21795a,EF2,2005,1795a,5.6,1,1,1,0
EF21795a,EF2,2006,1795a,NA,NA,0,1,0
EF21795a,EF2,2007,1795a,5.4,1,2,1,0
EF21795a,EF2,2008,1795a,NA,NA,0,1,0
EF21795a,EF2,2009,1795a,NA,1,2,1,0
EF21795a,EF2,2010,1795a,NA,NA,0,1,0
EF21795a,EF2,2011,1795a,NA,0,2,1,0
MSC1011,MSC,2002,1011,0.269909413154784,1,0,1,0
MSC1011,MSC,2003,1011,0.320086648286726,1,1,1,0
MSC1011,MSC,2004,1011,0.370263883418668,1,1,1,0
MSC1011,MSC,2005,1011,NA,NA,0,1,0
MSC1011,MSC,2006,1011,NA,NA,0,1,0
MSC1011,MSC,2007,1011,0.621150059078376,1,3,1,0
MSC1011,MSC,2008,1011,NA,NA,0,1,0
MSC1011,MSC,2009,1011,0.771681764474201,1,2,1,0
MSC1011,MSC,2010,1011,NA,NA,0,1,0
MSC1011,MSC,2011,1011,NA,1,2,1,0
MSC1011,MSC,2012,1011,NA,NA,0,1,0
MSC1011,MSC,2013,1011,1.7,1,2,1,0
MSC1011,MSC,2014,1011,1.07274517526585,1,1,1,0
MSC1011,MSC,2015,1011,1.32363135092556,1,1,1,0
MSC1011,MSC,2016,1011,1.32363135092556,1,1,1,0
MSC1011,MSC,2017,1011,1.47416305632139,1,1,1,0
MSC1068,MSC,2002,1068,0.320086648286726,1,0,1,0
MSC1068,MSC,2003,1068,0.370263883418668,1,1,1,0
MSC1068,MSC,2004,1068,0.320086648286726,1,1,1,0
MSC1068,MSC,2005,1068,NA,NA,0,1,0
MSC1068,MSC,2006,1068,NA,NA,0,1,0
MSC1068,MSC,2007,1068,0.470618353682551,1,3,1,0
MSC1068,MSC,2008,1068,NA,NA,0,1,0
MSC1068,MSC,2009,1068,0.621150059078376,1,2,1,0
MSC1068,MSC,2010,1068,NA,NA,0,1,0
MSC1068,MSC,2011,1068,0.872036234738085,1,2,1,0
MSC1068,MSC,2012,1068,NA,NA,0,1,0
MSC1068,MSC,2013,1068,1.02256794013391,1,2,1,0
MSC1068,MSC,2014,1068,1.07274517526585,1,1,1,0
MSC1068,MSC,2015,1068,1.17309964552974,1,1,1,0
MSC1068,MSC,2016,1068,NA,1,1,1,0
MSC1106,MSC,2002,1106,0.269909413154784,1,0,1,0
MSC1106,MSC,2003,1106,0.269909413154784,1,1,1,0
MSC1106,MSC,2004,1106,NA,1,1,1,0
MSC1106,MSC,2005,1106,NA,NA,0,1,0
MSC1106,MSC,2006,1106,NA,NA,0,1,0
MSC1106,MSC,2007,1106,NA,0,3,1,0
MSC1180,MSC,2002,1180,0.320086648286726,1,0,1,0
MSC1180,MSC,2003,1180,0.320086648286726,1,1,1,0
MSC1180,MSC,2004,1180,NA,1,1,1,0
MSC1180,MSC,2005,1180,NA,NA,0,1,0
MSC1180,MSC,2006,1180,NA,NA,0,1,0
MSC1180,MSC,2007,1180,NA,0,3,1,0
MSC1200,MSC,2002,1200,1.4,1,0,1,0
MSC1200,MSC,2003,1200,1.8,1,1,1,0
MSC1200,MSC,2004,1200,2.1,1,1,1,0
MSC1200,MSC,2005,1200,NA,NA,0,1,0
MSC1200,MSC,2006,1200,NA,NA,0,1,0
MSC1200,MSC,2007,1200,3.6,1,3,1,0
MSC1200,MSC,2008,1200,NA,NA,0,1,0
MSC1200,MSC,2009,1200,4.5,1,2,1,0
MSC1200,MSC,2010,1200,NA,NA,0,1,0
MSC1200,MSC,2011,1200,6.2,1,2,1,0
MSC1200,MSC,2012,1200,NA,NA,0,1,0
MSC1200,MSC,2013,1200,7.3,1,2,1,0
