"","demoyr","Site","TagNo","DFN","dbh1","ht1","dbhfromDFN","DBH","surv","lags","yr","Temp.Oct.Apr.","Temp.May.Sept.","Precip.Aug.July","fog","cloud"
"1",2002,"EF1","934",1.9,NA,69,1.07274517526585,1.07274517526585,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2",2003,"EF1","934",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"3",2002,"EF1","935",NA,6,NA,NA,6,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"4",2003,"EF1","935",NA,7.2,NA,NA,7.2,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"41",2004,"EF1","935",NA,NA,NA,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"5",2005,"EF1","935",NA,10,NA,NA,10,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"51",2006,"EF1","935",NA,NA,NA,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6",2007,"EF1","935",NA,12,NA,NA,12,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"61",2008,"EF1","935",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"7",2009,"EF1","935",NA,14.4,NA,NA,14.4,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"71",2010,"EF1","935",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"8",2011,"EF1","935",NA,16.4,NA,NA,16.4,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"81",2012,"EF1","935",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"9",2013,"EF1","935",NA,17.4,NA,NA,17.4,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"10",2014,"EF1","935",NA,17.4,NA,NA,17.4,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"11",2002,"EF1","945",NA,2.6,NA,NA,2.6,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"12",2003,"EF1","945",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"14",2002,"EF1","946",NA,4.5,261,NA,4.5,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"15",2003,"EF1","946",NA,5.5,426,NA,5.5,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"151",2004,"EF1","946",NA,NA,426,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"16",2005,"EF1","946",NA,7.9,426,NA,7.9,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"161",2006,"EF1","946",NA,NA,426,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"17",2007,"EF1","946",NA,10.3,NA,NA,10.3,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"171",2008,"EF1","946",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"18",2009,"EF1","946",NA,11.3,NA,NA,11.3,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"181",2010,"EF1","946",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"19",2011,"EF1","946",NA,14.4,NA,NA,14.4,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"191",2012,"EF1","946",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"20",2013,"EF1","946",NA,15.1,NA,NA,15.1,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"21",2014,"EF1","946",NA,15.1,NA,NA,15.1,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"22",2002,"EF1","947",NA,4.5,212,NA,4.5,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"23",2003,"EF1","947",NA,5.8,372,NA,5.8,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"231",2004,"EF1","947",NA,NA,372,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"24",2005,"EF1","947",NA,9.2,NA,NA,9.2,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"241",2006,"EF1","947",NA,NA,NA,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"25",2007,"EF1","947",NA,11,NA,NA,11,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"251",2008,"EF1","947",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"26",2009,"EF1","947",NA,11.5,NA,NA,11.5,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"261",2010,"EF1","947",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"27",2011,"EF1","947",NA,12.4,NA,NA,12.4,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
