"Site","Year","Rosettes","Infl","TagNew","RosNew","InflNew","surv","lagsrtsz","lagforsurv","PptFall","PptWinter","PptSummer","TempFall","TempWinter","TempSummer","TransectNew","InflYesNo"
"Garden Park East",2006,4,0,"E.1.20",4,0,1,0,0,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.1",0
"Garden Park East",2007,7,0,"E.1.20",7,0,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.1",0
"Garden Park East",2008,6,0,"E.1.20",6,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.1",0
"Garden Park East",2009,6,0,"E.1.20",6,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.1",0
"Garden Park East",2010,6,0,"E.1.20",6,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.1",0
"Garden Park East",2011,6,0,"E.1.20",6,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.1",0
"Garden Park East",2012,7,0,"E.1.20",7,0,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.1",0
"Garden Park East",2013,11,0,"E.1.20",11,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.1",0
"Garden Park East",2014,4,0,"E.1.20",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.1",NA
"Garden Park East",2015,4,0,"E.1.20",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.1",NA
"Garden Park East",2016,7,0,"E.1.20",7,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.1",0
"Garden Park East",2017,4,0,"E.1.20",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.1",NA
"Garden Park East",2018,4,0,"E.1.20",4,0,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.1",0
"Garden Park East",2004,47,25,"E.1.101",47,25,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.1",1
"Garden Park East",2005,36,14,"E.1.101",36,14,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.1",1
